player_ID,Player,year_ID,Age,Tm,tm_gms,Tm_Net_Rtg,Pos,G,MP,MP_pct,PER,TS_pct,ThrPAr,FTr,ORB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,OWS,DWS,WS,WS40,Composite_Rating,Wins_Generated
montgre01w,Renee Montgomery,2019,32,ATL,34,-9.8,G,34,949,69.5%,11.1,.520,.727,.176,1.0,4.1,18.0,1.7,0.5,16.8,17.5,0.4,0.5,0.9,.039,-2.4,1.22
williel01w,Elizabeth Williams,2019,26,ATL,34,-9.8,C-F,32,909,66.6%,16.7,.521,.000,.477,11.4,12.1,7.8,1.4,4.7,12.9,15.9,1.6,1.0,2.7,.117,+0.6,2.51
sykesbr01w,Brittney Sykes,2019,25,ATL,34,-9.8,G,34,880,64.5%,11.3,.445,.308,.259,3.0,9.1,19.6,1.2,1.5,14.8,23.1,-0.8,0.8,0.0,-.001,-3.4,0.70
hayesti01w,Tiffany Hayes,2019,29,ATL,34,-9.8,G,29,817,59.9%,15.1,.497,.313,.340,2.7,5.7,21.9,1.8,0.8,14.0,27.1,0.5,0.6,1.0,.050,-1.5,1.45
brelaje01w,Jessica Breland,2019,31,ATL,34,-9.8,F,33,767,56.2%,15.2,.425,.138,.120,5.7,16.6,14.2,2.8,3.6,11.6,18.9,-0.4,1.9,1.5,.076,-0.8,1.62
bentlal01w,Alex Bentley,2019,28,ATL,34,-9.8,G,29,634,46.4%,8.8,.384,.421,.108,1.6,4.5,28.1,1.7,1.1,11.5,26.7,-1.4,0.4,-1.0,-.063,-5.5,-0.14
billimo01w,Monique Billings,2019,23,ATL,34,-9.8,F,29,553,40.5%,11.7,.469,.007,.417,11.5,19.3,5.4,1.6,1.7,21.3,17.3,-0.3,1.0,0.7,.049,-2.1,0.81
cazorma01w,Maite Cazorla,2019,22,ATL,34,-9.8,G,31,477,34.9%,6.4,.444,.591,.258,0.4,2.3,17.8,1.9,0.2,21.9,12.3,-0.4,0.2,-0.2,-.014,-4.6,0.10
coffeni01w,Nia Coffey,2019,24,ATL,34,-9.8,F,28,389,28.5%,10.1,.441,.417,.302,6.2,10.6,6.0,1.9,2.7,11.8,20.3,-0.3,0.5,0.2,.020,-3.1,0.37
gulima01w,Marie Gulich,2019,25,ATL,34,-9.8,C,31,349,25.6%,8.8,.433,.231,.204,10.5,12.9,10.3,0.7,5.5,21.4,19.0,-0.5,0.4,-0.1,-.015,-4.2,0.14
coateal01w,Alaina Coates,2019,24,ATL,34,-9.8,C,9,75,5.5%,16.5,.634,.000,.929,11.1,19.1,2.6,1.4,6.4,16.9,14.0,0.2,0.2,0.3,.181,+2.2,0.27
peterha01w,Haley Peters,2019,26,ATL,34,-9.8,F,4,26,1.9%,-10.8,.127,.000,.286,4.0,4.1,6.0,2.0,3.1,33.7,20.2,-0.3,0.0,-0.2,-.384,-17.3,-0.16
mccouan01w,Angel McCoughtry,2019,32,ATL,34,-9.8,F-G,1,0,0.0%,,,,,,,,,,,,0.0,0.0,0.0,,,0.00
deshidi01w,Diamond DeShields,2019,24,CHI,34,1.6,G,34,1027,75.2%,16.2,.508,.328,.291,3.4,10.2,13.4,2.1,1.0,12.0,26.1,1.2,1.2,2.4,.094,+0.1,2.61
vandeco01w,Courtney Vandersloot,2019,30,CHI,34,1.6,G,33,991,72.6%,20.5,.552,.358,.268,2.4,8.1,47.0,2.2,1.1,22.3,18.9,3.0,1.1,4.1,.166,+2.7,3.79
quiglal01w,Allie Quigley,2019,33,CHI,34,1.6,G,34,972,71.2%,17.8,.632,.522,.156,1.6,5.8,14.5,1.4,0.5,11.0,18.7,3.2,0.5,3.7,.154,+1.9,3.35
dolsost01w,Stefanie Dolson,2019,27,CHI,34,1.6,C,34,850,62.3%,14.8,.621,.356,.210,5.7,12.4,13.8,1.2,2.9,20.6,16.4,1.6,1.1,2.7,.126,+0.7,2.40
parkech01w,Cheyenne Parker,2019,26,CHI,34,1.6,F,34,670,49.1%,18.7,.544,.077,.408,11.0,16.4,7.2,1.8,4.6,14.1,20.8,1.4,1.2,2.6,.157,+2.2,2.38
lavenja01w,Jantel Lavender,2019,30,CHI,34,1.6,C,23,619,45.3%,14.1,.527,.129,.100,8.8,14.3,6.8,0.6,1.5,12.7,17.7,0.8,0.6,1.3,.085,-0.5,1.39
williga01w,Gabby Williams,2019,22,CHI,34,1.6,G,33,527,38.6%,10.4,.468,.227,.221,3.2,7.6,20.2,2.1,1.0,21.7,21.0,-0.5,0.5,0.0,-.001,-3.4,0.44
coppeka01w,Kahleah Copper,2019,24,CHI,34,1.6,F-G,34,502,36.8%,9.7,.483,.240,.343,2.8,7.1,9.6,1.4,0.4,15.5,24.1,-0.3,0.3,0.0,.003,-3.4,0.41
ndouras01w,Astou Ndour,2019,24,CHI,34,1.6,C,21,368,27.0%,16.5,.568,.280,.153,9.7,13.4,6.1,1.3,2.8,10.0,16.6,0.9,0.4,1.3,.141,+1.4,1.16
samueka02w,Katie Lou Samuelson,2019,22,CHI,34,1.6,G,20,153,11.2%,10.3,.513,.763,.526,3.1,6.2,6.5,1.9,1.0,9.7,14.7,0.2,0.1,0.3,.089,-1.1,0.30
faulkja01w,Jamierra Faulkner,2019,27,CHI,34,1.6,G,13,72,5.3%,5.6,.395,.500,.444,3.3,3.1,21.9,1.4,0.0,18.9,16.0,-0.1,0.0,0.0,-.026,-4.9,0.01
jacksch01w,Chloe Jackson,2019,22,CHI,34,1.6,G,8,32,2.3%,2.4,.215,.000,.667,11.1,10.5,17.4,7.7,0.0,34.0,24.0,-0.3,0.1,-0.2,-.245,-11.1,-0.10
macauvi01w,Victoria Macaulay,2019,28,CHI,34,1.6,C,5,22,1.6%,14.5,.510,.000,.400,5.4,10.2,0.0,4.5,3.3,0.0,11.6,0.0,0.0,0.1,.169,+1.8,0.07
alexaka01w,Kayla Alexander,2019,28,CHI,34,1.6,C,3,20,1.5%,20.9,.781,.000,1.000,11.9,19.6,7.9,0.0,0.0,14.8,14.7,0.1,0.0,0.1,.264,+5.3,0.10
thomaal01w,Alyssa Thomas,2019,27,CON,34,3.7,F,34,1026,75.2%,18.3,.513,.003,.363,8.8,14.7,17.2,3.3,1.1,15.2,19.2,1.7,2.1,3.7,.145,+2.0,3.56
thomaja01w,Jasmine Thomas,2019,29,CON,34,3.7,G,34,1009,73.9%,13.9,.491,.346,.197,2.0,5.5,28.3,2.4,0.4,19.4,20.6,0.8,1.2,2.0,.078,-0.5,2.26
willico01w,Courtney Williams,2019,25,CON,34,3.7,G,34,988,72.4%,19.0,.486,.081,.174,5.3,11.0,23.2,2.4,1.2,10.8,22.8,2.0,1.5,3.5,.143,+2.1,3.47
jonesjo01w,Jonquel Jones,2019,25,CON,34,3.7,F,34,980,71.8%,24.3,.560,.360,.342,12.5,19.3,9.2,2.2,6.1,12.9,22.6,3.3,2.4,5.6,.230,+5.3,4.97
stricsh01w,Shekinna Stricklen,2019,28,CON,34,3.7,F-G,34,804,58.9%,12.9,.573,.780,.106,1.2,4.6,7.8,2.2,0.8,9.5,15.9,1.7,0.9,2.6,.129,+0.6,2.26
holmebr01w,Bria Holmes,2019,25,CON,34,3.7,G,34,529,38.8%,11.3,.487,.326,.301,2.1,5.3,9.7,1.5,1.2,12.1,20.4,0.3,0.5,0.8,.059,-1.5,0.94
banhara01w,Rachel Banham,2019,25,CON,34,3.7,G,29,353,25.9%,4.7,.435,.626,.113,0.3,4.9,11.4,1.2,0.5,17.7,18.0,-0.5,0.3,-0.2,-.024,-4.8,0.05
tuckmo01w,Morgan Tuck,2019,25,CON,34,3.7,F,33,352,25.8%,10.0,.476,.362,.259,5.6,10.7,12.8,1.9,0.8,18.8,19.6,-0.1,0.5,0.3,.039,-2.2,0.50
jonesbr01w,Brionna Jones,2019,23,CON,34,3.7,C,27,227,16.6%,16.4,.517,.013,.480,17.7,14.9,6.6,2.0,2.7,17.3,21.0,0.4,0.3,0.7,.124,+1.1,0.69
hiedena01w,Natisha Hiedeman,2019,22,CON,34,3.7,G,20,205,15.0%,15.9,.532,.483,.414,3.7,8.4,29.2,2.0,0.9,15.9,17.2,0.5,0.3,0.8,.153,+1.8,0.69
clarela01w,Layshia Clarendon,2019,28,CON,34,3.7,G,9,138,10.1%,17.3,.536,.047,.488,5.5,9.1,22.2,1.1,0.0,13.3,18.9,0.4,0.1,0.6,.160,+2.2,0.49
anigwkr01w,Kristine Anigwe,2019,22,CON,34,3.7,C-F,17,121,8.9%,8.6,.400,.000,.486,12.6,14.2,3.8,2.5,2.9,19.1,18.8,-0.2,0.2,0.0,.015,-3.1,0.12
plaisth01w,Theresa Plaisance,2019,27,CON,34,3.7,F,9,64,4.7%,10.8,.444,.261,.174,5.1,14.3,0.0,2.4,2.8,3.9,17.4,0.0,0.1,0.2,.110,-0.2,0.15
carlebr01w,Bridget Carleton,2019,0,CON,34,3.7,,4,29,2.1%,-8.1,.000,.333,.000,3.7,5.9,4.6,0.0,0.0,14.3,10.5,-0.2,0.0,-0.2,-.213,-11.9,-0.10
ogunbar01w,Arike Ogunbowale,2019,22,DAL,34,-7.9,G,33,1059,77.9%,18.3,.501,.294,.323,2.1,4.5,22.5,1.8,0.1,9.8,30.4,2.6,0.1,2.7,.101,+0.0,2.67
grayal01w,Allisha Gray,2019,24,DAL,34,-7.9,G,34,1035,76.1%,16.5,.593,.336,.438,4.9,8.1,14.1,2.2,1.2,13.8,15.8,3.1,0.5,3.6,.140,+0.7,2.97
thornka01w,Kayla Thornton,2019,26,DAL,34,-7.9,F,27,822,60.5%,11.5,.445,.356,.201,6.7,10.3,11.1,1.6,0.9,12.3,20.2,0.2,0.4,0.6,.027,-3.1,0.81
harriis01w,Isabelle Harrison,2019,25,DAL,34,-7.9,F,31,794,58.4%,15.6,.495,.025,.278,10.2,13.5,10.4,2.4,2.8,15.1,18.5,0.8,0.8,1.6,.081,-0.9,1.62
johnsgl01w,Glory Johnson,2019,28,DAL,34,-7.9,F,28,676,49.7%,13.9,.456,.481,.112,4.5,12.6,10.9,3.1,2.3,11.1,17.3,0.2,1.0,1.2,.069,-1.5,1.17
daviska01w,Kaela Davis,2019,24,DAL,34,-7.9,G,33,634,46.6%,4.6,.401,.221,.143,2.8,6.8,20.6,1.5,0.8,22.9,23.2,-1.9,0.2,-1.8,-.111,-7.8,-0.87
mccarbr01w,Brooke McCarty-Williams,2019,23,DAL,34,-7.9,G,34,447,32.9%,7.5,.425,.556,.133,2.5,6.0,24.3,1.9,0.2,23.3,12.8,-0.1,0.1,0.0,-.001,-4.5,0.13
plaisth01w,Theresa Plaisance,2019,27,DAL,34,-7.9,F,22,378,27.8%,13.2,.497,.545,.179,6.2,15.2,17.1,0.9,3.9,18.4,19.9,0.2,0.4,0.6,.060,-1.9,0.59
boyetim01w,Imani McGee-Stafford,2019,24,DAL,34,-7.9,C,29,346,25.4%,14.8,.486,.037,.128,14.3,19.0,10.4,2.7,4.5,22.8,19.9,-0.2,0.6,0.4,.047,-2.0,0.53
gustame01w,Megan Gustafson,2019,22,DAL,34,-7.9,F,25,238,17.5%,15.1,.572,.164,.364,9.4,15.7,5.5,0.9,2.2,13.6,14.3,0.6,0.2,0.7,.124,+0.1,0.61
steveaz01w,Azura Stevens,2019,23,DAL,34,-7.9,F,9,144,10.6%,11.8,.389,.170,.094,11.7,13.2,6.7,1.9,6.1,14.0,20.6,-0.2,0.2,-0.1,-.015,-4.1,0.07
anigwkr01w,Kristine Anigwe,2019,22,DAL,34,-7.9,C-F,10,129,9.5%,8.4,.404,.000,.455,12.2,16.6,4.1,1.3,2.7,15.0,16.7,-0.1,0.1,0.0,.010,-4.0,0.07
hillta01w,Tayler Hill,2019,28,DAL,34,-7.9,G,4,49,3.6%,9.9,.428,.462,.385,4.6,6.1,10.8,1.1,0.0,0.0,14.3,0.1,0.0,0.1,.064,-2.4,0.07
samueka01w,Karlie Samuelson,2019,24,DAL,34,-7.9,G,4,48,3.5%,6.8,.429,.857,.000,2.3,2.5,6.9,3.4,1.8,0.0,6.7,0.0,0.0,0.1,.059,-3.0,0.05
dupreca01w,Candice Dupree,2019,34,IND,34,-3.5,F,34,1043,76.1%,14.5,.502,.008,.152,2.7,9.4,14.9,0.8,1.5,11.7,19.3,1.2,0.5,1.6,.062,-1.2,1.98
laneybe01w,Betnijah Laney,2019,25,IND,34,-3.5,G-F,34,877,64.0%,8.7,.424,.310,.146,4.3,9.4,10.7,2.9,0.4,17.8,14.2,-0.8,0.9,0.1,.004,-3.7,0.58
mitchke01w,Kelsey Mitchell,2019,23,IND,34,-3.5,G,34,852,62.2%,15.1,.506,.488,.141,0.6,3.8,20.2,0.9,0.4,11.0,27.3,1.2,-0.1,1.1,.052,-1.3,1.55
wheeler01w,Erica Wheeler,2019,28,IND,34,-3.5,G,34,850,62.0%,15.8,.538,.419,.158,0.7,6.9,35.3,2.5,0.5,23.3,22.1,0.7,0.7,1.4,.065,-0.9,1.74
mitchti01w,Tiffany Mitchell,2019,24,IND,34,-3.5,G,33,831,60.6%,11.2,.491,.241,.325,3.2,6.6,14.5,1.2,0.3,14.4,20.8,0.6,0.1,0.8,.037,-2.4,1.08
mccowte01w,Teaira McCowan,2019,22,IND,34,-3.5,C,34,752,54.9%,22.5,.576,.000,.652,17.1,23.4,1.9,1.4,4.8,12.9,20.4,2.6,1.3,3.9,.208,+4.0,3.34
achonna01w,Natalie Achonwa,2019,26,IND,34,-3.5,C,30,636,46.4%,19.3,.562,.059,.325,9.0,14.2,13.4,1.5,2.6,11.1,18.5,2.1,0.6,2.7,.173,+2.5,2.37
burkeke01w,Kennedy Burke,2019,22,IND,34,-3.5,G,31,423,30.9%,11.9,.495,.342,.376,5.1,6.1,8.5,2.2,1.9,13.3,16.8,0.3,0.2,0.6,.053,-1.9,0.66
johnssh02w,Shenise Johnson,2019,28,IND,34,-3.5,G,17,219,16.0%,12.8,.428,.367,.178,6.0,9.2,14.1,2.9,0.7,11.0,22.5,0.0,0.2,0.2,.031,-2.3,0.30
mavunst01w,Stephanie Mavunga,2019,24,IND,34,-3.5,F,24,204,14.9%,12.9,.551,.021,.362,12.3,15.8,3.3,1.5,2.8,15.5,14.3,0.3,0.2,0.6,.111,-0.2,0.49
mccaler01w,Erica McCall,2019,23,IND,34,-3.5,F,15,104,7.6%,6.7,.274,.000,.364,12.6,15.0,8.4,0.5,4.7,10.5,12.4,-0.1,0.1,0.0,-.008,-4.4,0.04
keapa01w,Paris Kea,2019,23,IND,34,-3.5,G,11,60,4.4%,10.2,.504,.333,.148,2.0,4.8,18.7,0.9,2.7,23.8,28.4,-0.1,0.0,-0.1,-.082,-5.7,-0.02
graych01w,Chelsea Gray,2019,26,LAS,34,3.6,G,34,1108,81.2%,15.8,.509,.290,.159,1.4,6.6,31.1,1.5,0.2,18.3,23.8,1.1,1.2,2.4,.085,+0.2,2.87
ogwumnn01w,Nneka Ogwumike,2019,28,LAS,34,3.6,F,32,892,65.4%,25.7,.575,.167,.229,9.3,18.0,12.4,3.4,1.4,11.5,25.2,3.1,2.4,5.5,.248,+6.2,4.93
ruffiti01w,Tierra Ruffin-Pratt,2019,28,LAS,34,3.6,G,34,856,62.7%,8.6,.477,.372,.209,2.7,5.5,9.9,1.5,2.0,11.9,12.6,0.5,0.9,1.5,.069,-1.5,1.52
ogwumch01w,Chiney Ogwumike,2019,27,LAS,34,3.6,F,32,697,51.1%,18.4,.541,.016,.269,13.3,15.0,6.2,2.4,2.8,12.9,20.8,1.6,1.4,3.0,.171,+2.9,2.73
wiesesy01w,Sydney Wiese,2019,24,LAS,34,3.6,G,32,659,48.3%,8.5,.521,.650,.063,0.9,3.6,12.9,1.2,1.0,17.9,12.1,0.3,0.5,0.8,.048,-2.0,0.98
williri02w,Riquna Williams,2019,29,LAS,34,3.6,G,23,593,43.4%,15.4,.538,.570,.207,2.5,5.8,10.4,2.2,0.6,9.6,21.9,1.2,0.7,2.0,.132,+1.4,1.87
parkeca01w,Candace Parker,2019,33,LAS,34,3.6,F,22,571,41.8%,18.0,.514,.284,.318,4.8,14.0,22.2,2.1,2.5,18.3,23.0,0.5,1.2,1.8,.124,+1.6,1.87
brownka01w,Kalani Brown,2019,22,LAS,34,3.6,C,28,377,27.6%,15.9,.540,.009,.407,10.3,14.8,7.4,1.2,4.9,17.9,19.2,0.5,0.7,1.2,.128,+1.3,1.19
mabrema01w,Marina Mabrey,2019,22,LAS,34,3.6,G,31,355,26.0%,10.9,.453,.588,.122,1.9,6.1,13.4,2.7,1.7,14.8,20.3,-0.3,0.6,0.3,.035,-1.9,0.54
jonesal01w,Alexis Jones,2019,25,LAS,34,3.6,G,20,243,17.8%,9.0,.516,.471,.214,0.9,5.2,23.1,1.3,1.4,26.1,19.0,-0.1,0.2,0.1,.021,-2.6,0.29
beardal01w,Alana Beard,2019,37,LAS,34,3.6,G-F,16,235,17.2%,10.3,.491,.102,.184,1.0,5.8,14.8,2.6,1.1,14.5,11.7,0.2,0.4,0.5,.087,-0.7,0.50
vadeema01w,Maria Vadeeva,2019,20,LAS,34,3.6,C,15,180,13.2%,24.8,.533,.154,.125,11.4,18.3,11.8,4.2,1.4,14.1,31.6,0.2,0.5,0.7,.159,+3.7,0.78
samueka01w,Karlie Samuelson,2019,24,LAS,34,3.6,G,3,36,2.6%,0.1,.214,.857,.000,0.0,3.2,11.5,0.0,0.0,0.0,8.7,-0.1,0.0,0.0,-.050,-6.0,-0.02
walkeas01w,Ashley Walker,2019,32,LAS,34,3.6,F-C,3,22,1.6%,-6.1,.091,.455,.000,10.4,7.8,19.2,2.3,0.0,0.0,22.3,-0.2,0.0,-0.1,-.264,-12.7,-0.08
mcbrika01w,Kayla McBride,2019,27,LVA,34,4.1,G,34,990,72.2%,16.7,.566,.405,.268,2.5,7.8,15.0,2.0,0.2,12.8,19.9,2.2,1.5,3.7,.149,+2.2,3.51
plumke01w,Kelsey Plum,2019,24,LVA,34,4.1,G,34,868,63.3%,10.0,.472,.427,.133,1.9,6.1,18.9,1.5,0.4,14.6,18.0,0.1,1.1,1.2,.056,-1.4,1.56
hambyde01w,Dearica Hamby,2019,25,LVA,34,4.1,F,34,842,61.4%,18.9,.558,.183,.356,10.1,16.6,13.4,1.9,1.2,15.4,20.2,1.8,1.8,3.6,.169,+3.1,3.36
cambael01w,Liz Cambage,2019,27,LVA,34,4.1,C,32,807,58.9%,24.3,.558,.031,.398,8.7,17.6,16.8,1.2,5.2,13.6,28.1,2.2,2.0,4.1,.204,+4.9,3.95
youngja01w,Jackie Young,2019,21,LVA,34,4.1,G,34,767,56.0%,12.4,.420,.186,.309,3.4,7.9,30.9,1.7,1.3,16.5,18.0,0.1,1.2,1.3,.067,-0.7,1.64
wilsoa01w,A'ja Wilson,2019,22,LVA,34,4.1,C,26,740,54.0%,21.0,.547,.003,.436,6.5,12.4,12.0,0.9,5.0,12.5,26.1,1.7,1.4,3.1,.168,+3.4,3.08
youngta01w,Tamera Young,2019,32,LVA,34,4.1,F,34,628,45.8%,9.5,.437,.089,.341,6.2,10.8,16.8,1.8,0.5,18.9,17.4,-0.4,1.0,0.6,.038,-2.0,0.96
rodgesu01w,Sugar Rodgers,2019,29,LVA,34,4.1,G,33,382,27.9%,9.5,.499,.757,.045,1.2,6.8,16.0,1.7,2.6,19.3,15.8,-0.1,0.6,0.5,.053,-1.6,0.65
colsosy01w,Sydney Colson,2019,29,LVA,34,4.1,G,33,379,27.7%,13.5,.558,.238,.393,0.6,3.3,24.1,4.0,0.9,22.1,14.3,0.4,0.8,1.2,.126,+1.0,1.13
swordca01w,Carolyn Swords,2019,29,LVA,34,4.1,C,29,257,18.8%,9.5,.476,.000,.178,8.3,13.4,6.3,1.3,1.0,17.8,16.0,-0.1,0.4,0.4,.055,-1.5,0.45
parkji01w,JiSu Park,2019,20,LVA,34,4.1,C,25,163,11.9%,1.4,.244,.027,.243,6.9,9.0,8.8,1.5,2.0,14.6,12.6,-0.5,0.2,-0.2,-.052,-5.7,-0.05
princep01w,Epiphanny Prince,2019,31,LVA,34,4.1,G,3,28,2.0%,20.0,.650,.700,.000,4.0,3.9,18.9,1.8,2.9,0.0,15.3,0.1,0.0,0.2,.258,+5.6,0.15
naredja01w,Jaime Nared,2019,23,LVA,34,4.1,G-F,1,1,0.1%,-19.9,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.017,-7.6,0.00
collina01w,Napheesa Collier,2019,22,MIN,34,3.1,F,34,1131,83.2%,18.5,.576,.243,.296,6.6,12.1,12.6,3.0,2.5,14.4,17.9,2.8,2.4,5.2,.185,+3.0,4.52
simsod01w,Odyssey Sims,2019,26,MIN,34,3.1,G,34,1083,79.6%,15.0,.488,.204,.246,2.7,6.5,29.3,2.2,0.3,18.2,25.5,0.7,1.4,2.1,.078,-0.4,2.52
fowlesy01w,Sylvia Fowles,2019,33,MIN,34,3.1,C,34,1003,73.8%,22.2,.613,.000,.296,11.4,18.5,9.1,1.6,4.1,15.2,20.0,3.1,2.2,5.3,.211,+4.4,4.66
robinda01w,Danielle Robinson,2019,30,MIN,34,3.1,G,34,919,67.6%,14.3,.497,.130,.209,3.0,7.9,22.4,2.4,0.7,16.9,20.3,0.8,1.4,2.3,.098,+0.0,2.32
dantada01w,Damiris Dantas,2019,26,MIN,34,3.1,F,26,667,49.0%,14.8,.550,.519,.126,5.2,10.7,20.2,1.5,2.0,17.1,17.7,1.2,1.0,2.2,.133,+1.0,2.01
brownle02w,Lexie Brown,2019,24,MIN,34,3.1,G,33,605,44.5%,13.4,.554,.646,.182,1.4,4.6,12.6,2.6,0.1,15.4,19.8,0.8,0.8,1.6,.105,+0.1,1.53
talbost01w,Stephanie Talbot,2019,25,MIN,34,3.1,F-G,33,561,41.3%,11.4,.513,.617,.201,4.0,8.7,11.2,2.8,1.4,20.0,16.8,0.1,1.0,1.1,.077,-1.0,1.12
fagbete01w,Temi Fagbenle,2019,26,MIN,34,3.1,F,18,271,19.9%,10.0,.551,.074,.222,10.1,11.8,9.2,1.1,1.9,26.5,20.0,-0.1,0.4,0.2,.034,-2.4,0.36
